ist	ziel	art	fundort	welle	bemerkung
betreteVollbild	enterFullscreen	export-funktion	src/vollbild.ts	5	betrete→enter; Vollbild anfordern (Ablehnung abgefangen)
bildwirkung	grading	export-funktion	src/wetterhimmel.ts	5	VORSCHLAG: bildwirkung→grading, passend zu WeatherGrading; Grading-Werte zur Wetterlage
blendeSchritt	fadeStep	export-funktion	src/pinmodell.ts	5	VORSCHLAG: blenden→fade; Blend-Schritt einer Detailstufe
brichAttribution	wrapAttribution	export-funktion	src/exportfilm.ts	5	umbrechen→wrap
brichText	wrapText	export-funktion	src/kartenmaler.ts	5	umbrechen→wrap; der Export-Helfer heisst deshalb wrapLines
clipDauerS	exportClipDurationS	export-funktion	src/exportformat.ts	5	VORSCHLAG: Gesamtdauer des Export-Clips; bewusst nicht clipDurationS (das ist der Karten-Klip in einblendung.ts)
createKartenInfo	createMapAttribution	export-funktion	src/karteninfo.ts	5	§6.6 map-attribution.ts
createKartenSchicht	createCardLayer	export-funktion	src/kartenschicht.ts	5	§6.6 card-layer.ts
dateiname	exportFileName	export-funktion	src/exportformat.ts	5	VORSCHLAG: blosses fileName waere in einem Export-Modul zu unbestimmt
dOffsetOhneCluster	dOffsetWithoutCluster	export-funktion	src/studio/stopps.ts	5	ohne→without; Zeit-Offset ohne Cluster-Bindung
eigeneTourId	ownTourId	export-funktion	src/exportfilm.ts	5	VORSCHLAG: eigen→own; Server-Tour-ID aus der Adresse
filmBeiStrecke	filmTimeAtDistance	export-funktion	src/filmachse.ts	5	§6.3a/Grundstock (dort als filmBeiS gefuehrt)
filmSBeiFrame	filmTimeAtFrame	export-funktion	src/exportformat.ts	5	§6.3a filmTime
filmsekunden	filmSeconds	export-funktion	src/filmachse.ts	5	VORSCHLAG: reine Umrechnung Strecke→Filmsekunden, deshalb kein Verb davor
finaleTafelSicht	finalePanelOpacity	export-funktion	src/exportformat.ts	5	§6.3a finalePanel
formatiereClipzeit	formatClipTime	export-funktion	src/exportformat.ts	5	Clipzeit als mm:ss
formatiereFilmdauer	formatFilmDuration	export-funktion	src/tourtexte.ts	5	format + duration; Filmdauer als Chip-Text
fortschrittText	progressText	export-funktion	src/exportformat.ts	5	Fortschritt→progress
frameAnzahl	frameCount	export-funktion	src/exportformat.ts	5	Zaehler heisst …Count (§6.0)
fuehreExportAus	runFilmExport	export-funktion	src/exportfilm.ts	5	§6.1 filmExport (nicht bloss export)
gerampterPegel	rampedVolume	export-funktion	src/audiotracks.ts	5	§6.3a ramp + §6.1 volume
gruppiereStopps	groupStops	export-funktion	src/geo.ts	5	Grundstock
haltBeiFilm	stopAtFilmTime	export-funktion	src/filmachse.ts	5	VORSCHLAG: liefert das Halt-Intervall zu einer Filmsekunde
hatBereich	hasRange	export-funktion	src/audiotracks.ts	5	VORSCHLAG: Bereich (Zeitbereich)→range
himmelBei	skyAt	export-funktion	src/wetterhimmel.ts	5	bei→at; Himmelswerte an einer Staerke
htmlAlsText	htmlToText	export-funktion	src/karteninfo.ts	5	als→to
imBild	inView	export-funktion	src/pinmodell.ts	5	VORSCHLAG: inView; ob ein Punkt im Bild liegt
imVollbild	isFullscreen	export-funktion	src/vollbild.ts	5	Boolean is… (§6.0 Regel 2); ob die Seite im Vollbild steht
interpoliere	interpolate	export-funktion	src/filmachse.ts	5	lower_bound-Interpolation der Achse
introTafelSicht	introPanelOpacity	export-funktion	src/exportformat.ts	5	Sicht→opacity wie --schleier-sicht→--scrim-opacity (Grundstock)
istAktiv	isActive	export-funktion	src/audiotracks.ts	5	ob ein Bereich zur Filmsekunde aktiv ist
istEigeneBereiteTour	isOwnReadyTour	export-funktion	src/exportfilm.ts	5	bereit→ready (§4.2)
istEingebettet	isEmbedded	export-funktion	src/exportformat.ts	5	Boolean is-Praefix
istExportAnfrage	isExportRequest	export-funktion	src/exportfilm.ts	5	Boolean is-Praefix (§6.0)
istExportFps	isExportFps	export-funktion	src/exportformat.ts	5	Typwaechter; fps ist etablierte Abkuerzung
istExportGroesse	isExportSize	export-funktion	src/exportformat.ts	5	Typwaechter
istExportLage	isExportOrientation	export-funktion	src/exportformat.ts	5	Typwaechter
kartenGeometrie	cardGeometry	export-funktion	src/kartenmaler.ts	5	ggf. zweiter Durchgang
kartenLage	cardLayout	export-funktion	src/kartenmaler.ts	5	VORSCHLAG: Lage aus Breite und Hoehe ableiten
kartenMass	cardScale	export-funktion	src/kartenmaler.ts	5	§6.3a card; Massstab aus der Buehnenhoehe
kartenPhasen	cardPhases	export-funktion	src/kartenmaler.ts	5	Phasen aus Klip-Zeit und Buehne rechnen
kartenPixelRatio	mapPixelRatio	export-funktion	src/map.ts	5	§6.3a map
kartenSatz	cardStageSet	export-funktion	src/kartenmaler.ts	5	VORSCHLAG: Buehnen-Satz zu einem Namen
kartenZeiten	cardTimings	export-funktion	src/einblendung.ts	5	§6.3a cardTiming
kennzahlen	stats	export-funktion	src/tourtexte.ts	5	VORSCHLAG: Kennzahl→stat wie im Profil; Kennzahlen-Chips des Startscreens
klemmeSeitenverhaeltnis	clampAspectRatio	export-funktion	src/einblendung.ts	5	klemme→clamp
klipDauerS	clipDurationS	export-funktion	src/einblendung.ts	5	§6.3a clip + §6.9 durationS
kuerzeBeschreibung	truncateDescription	export-funktion	src/tourtexte.ts	5	VORSCHLAG: kuerzen→truncate (begrenzen, nicht klemmen); Beschreibung auf die Grenze kuerzen
kuerzeText	truncateText	export-funktion	src/kartenmaler.ts	5	VORSCHLAG: Text mit Ellipse auf Breite kuerzen
kurveAusText	curveFromText	export-funktion	src/kartenmaler.ts	5	Bezier-Kurve aus CSS-Text bauen
ladeServerTouren	loadServerTours	export-funktion	src/remote.ts	5	lade (lesen)→load (§6.4); Tourliste des Servers laden
leseExportFormat	parseExportFormat	export-funktion	src/exportformat.ts	5	VORSCHLAG: aus der Query lesen ist parsen; load bleibt DB/Datei vorbehalten (§6.0)
loopAktiv	loopEnabled	export-funktion	src/audiotracks.ts	5	ENTSCHIEDEN 2026-08-20 (Abnahme): Boolean-Adjektiv §6.0
maleKarte	paintCard	export-funktion	src/kartenmaler.ts	5	§6.3a Maler→painter, male→paint
meterOhneCluster	metersWithoutCluster	export-funktion	src/studio/stopps.ts	5	ohne→without; Meterstand ohne Cluster-Bindung
modusMischung	travelModeMix	export-funktion	src/filmachse.ts	5	VORSCHLAG: Modus-Anteile in der Rampe (Kameradistanz)
momentHaltS	momentHoldS	export-funktion	src/filmachse.ts	5	Glossar-Kopf Standzeit→holdS; Standzeit eines Kamera-Moments
motorQuelle	engineLoopSource	export-funktion	src/exportfilm.ts	5	VORSCHLAG: Motor→engine (Dateien heissen eng-*), Loop bleibt
musikVersatzS	musicOffsetS	export-funktion	src/audiotracks.ts	5	Versatz→offset (§6.9 offsetFilmS)
naechsterIndex	nextIndex	export-funktion	src/pinmodell.ts	5	VORSCHLAG: next, nicht nearest; gemeint ist der kommende Stopp (anders als nearestPointIndex)
pauseText	pausedText	export-funktion	src/exportformat.ts	5	VORSCHLAG: §6.1 paused ist der Zustand, pause nie als Substantiv
quellenAlsEinbrand	sourcesForBurnIn	export-funktion	src/karteninfo.ts	5	VORSCHLAG: Einbrand→burn-in (Video-Einbrand der Attribution)
quellenAlsText	sourcesAsText	export-funktion	src/karteninfo.ts	5	VORSCHLAG: Quellenliste als Text
raeumeKartenPuffer	clearCardBuffers	export-funktion	src/kartenmaler.ts	5	VORSCHLAG: raeume→clear; zwischengepufferte Zeichnungen verwerfen
rampenVersatzS	rampOffsetS	export-funktion	src/filmachse.ts	5	§6.3a ramp; Versatz→offset
rastergrading	rasterGrading	export-funktion	src/daynight.ts	5	bleibt (schon englisch), nur camelCase
reihenfolgeImHalt	orderInStop	export-funktion	src/einblendung.ts	5	§6.1 order + stop; Aufnahmen innerhalb eines Halts ordnen
reiheVergeben	assignOrder	export-funktion	src/studio/stopps.ts	5	VORSCHLAG: vergeben→assign; Reihe→order (§6.1); Reihenfolge innerhalb eines Stopps
reiterVorrat	tabPool	export-funktion	src/exportfilm.ts	5	VORSCHLAG: Vorrat→pool; Reiter fuer alle Quellen vorbereiten
restzeitS	remainingS	export-funktion	src/exportformat.ts	5	VORSCHLAG: Restzeit→remaining, Einheit S
restzeitText	remainingText	export-funktion	src/exportformat.ts	5	VORSCHLAG: Restzeit als Anzeigetext
sammleQuellen	collectSources	export-funktion	src/karteninfo.ts	5	sammle→collect
schleierFuer	scrimFor	export-funktion	src/wetterhimmel.ts	5	§6.3a scrim; Schleier zu Wetterlage und Staerke
sfxSollFeuern	sfxShouldFire	export-funktion	src/audiotracks.ts	5	VORSCHLAG: soll feuern→shouldFire
snapZiel	snapTarget	export-funktion	src/studio/stopps.ts	5	VORSCHLAG: Ziel→target; Snap-Ziel beim Ziehen
standzeitS	holdS	export-funktion	src/einblendung.ts	5	Glossar-Kopf Standzeit→holdDuration/Feld holdS; wie Grundstock haltedauerS→holdS
stoppSignatur	stopSignature	export-funktion	src/studio/stopps.ts	5	signature wie trimSignature (§6.9); Aenderungserkennung
stoppVon	stopOf	export-funktion	src/studio/stopps.ts	5	VORSCHLAG: stopOf(medium); Welle wie Datei (W5); Stopp zu einem Medium finden
streckeBeiFilm	distanceAtFilmTime	export-funktion	src/filmachse.ts	5	§6.3a/Grundstock
stufenZiele	detailTargets	export-funktion	src/pinmodell.ts	5	VORSCHLAG: Detailstufe→detail, kein LOD-Kuerzel (§6.0 Regel 7); Ziel-Detailstufen je Pin
teileAngaben	splitFacts	export-funktion	src/kartenmaler.ts	5	VORSCHLAG: teile→split (§5-Tabelle splitForDisplay)
tempoBeiStrecke	tempoAtDistance	export-funktion	src/filmachse.ts	5	§6.3a Muster …AtDistance
tempoMs	tempoMs	export-funktion	src/filmachse.ts	5	bleibt (Grundstock-Entscheid: schon englisch lesbar); Ms meint hier m/s
tonKlipsAusSpuren	audioClipsFromTracks	export-funktion	src/exportfilm.ts	5	§6.1 audioClip/audioTrack
umbrich	wrapLines	export-funktion	src/exportfilm.ts	5	VORSCHLAG: verb-first; nicht wrapText, das ist der gleichnamige Maler-Helfer den diese Datei importiert
verbindeSichtbarkeit	connectVisibility	export-funktion	src/filmuhr.ts	5	VORSCHLAG: Uhr an visibilitychange/App-Ereignisse haengen
verdichteAbschnitte	mergeSegments	export-funktion	src/exportformat.ts	5	VORSCHLAG: verschmelzen→merge
verlasseVollbild	exitFullscreen	export-funktion	src/vollbild.ts	5	verlasse→exit (wie die Fullscreen-API); Vollbild verlassen
videoLautstaerke	videoVolume	export-funktion	src/audiotracks.ts	5	§6.1 volume je Klip; Ziel-Lautstaerke des Videos
videoMusikDuck	musicDuck	export-funktion	src/audiotracks.ts	5	VORSCHLAG: Absenkung→duck; Musik-Absenkung waehrend Video-Ton
videoNachfuehrung	videoSeekDecision	export-funktion	src/einblendung.ts	5	VORSCHLAG: geteilte Such-Entscheidung fuer Player und Editor
videoStandS	videoPositionS	export-funktion	src/einblendung.ts, src/studio/zeitleiste.ts	5	VORSCHLAG: Stand (Dateiposition)→position; Re-Export in zeitleiste geht mit
videoTonHuelle	videoVolumeEnvelope	export-funktion	src/audiotracks.ts	5	VORSCHLAG: Huelle→envelope; Lautstaerke-Huelle des Video-Tons
vollbildErwuenscht	fullscreenWanted	export-funktion	src/vollbild.ts	5	fullscreen §6.3a; VORSCHLAG erwuenscht→wanted; ob Vollbild auf diesem Geraet erwuenscht ist
vollbildMoeglich	fullscreenAvailable	export-funktion	src/vollbild.ts	5	VORSCHLAG: moeglich→available (fragt fullscreenEnabled); ob die API verfuegbar ist
weltGroesse	worldSize	export-funktion	src/pinmodell.ts	5	VORSCHLAG: worldSize; Pin-Groesse aus der Kameradistanz
wetterQuelle	weatherLoopSource	export-funktion	src/exportfilm.ts	5	VORSCHLAG: dito fuer die Wetter-Loops
zeichneFinaleTafel	drawFinalePanel	export-funktion	src/exportfilm.ts	5	§6.3a finalePanel
zeichneIntroTafel	drawIntroPanel	export-funktion	src/exportfilm.ts	5	§6.3a introPanel; zeichne→draw (malen bleibt dem Maler)
zeigeRoute	showRoute	export-funktion	src/tourtexte.ts	5	VORSCHLAG: zeige→show; liefert Boolean, ggf. shouldShowRoute; ob die Stationszeile erscheint
zustaende	pinStates	export-funktion	src/pinmodell.ts	5	VORSCHLAG: pinStates statt blankem states; Pin-Zustaende im Fenster berechnen
Filmuhr	FilmClock	export-klasse	src/filmuhr.ts	5	§6.3a filmClock
Frameuhr	FrameClock	export-klasse	src/exportfilm.ts	5	Uhr→clock (§6.3a); Taktgeber des Video-Exports
RemoteTourFehler	RemoteTourError	export-klasse	src/remote.ts	5	Fehler→Error (§6.1 Feldname/Klasse; nur der Status heisst failed); Modul-Ebene, nicht Vertrag
alsHuelle	asEnvelope	export-konstante	src/audiotracks.ts	5	VORSCHLAG: Huelle→envelope; Wert in eine Huellenform heben
BASIS_TEMPO_MS	BASE_TEMPO_MS	export-konstante	src/filmachse.ts	5	VORSCHLAG: Ms steht hier fuer m/s und nicht fuer Millisekunden (§6.0-Kollision); bleibt wie beim Grundstock-Eintrag tempoMs
BESCHREIBUNG_MAX	DESCRIPTION_MAX	export-konstante	src/tourtexte.ts	5	Beschreibung→description; Datei wird tour-texts.ts; Maximallaenge
BEZUGSHOEHE	REFERENCE_HEIGHT_PX	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Bezugshoehe 900 CSS-Pixel, Einheit in den Namen (§6.0)
EDITOR_LAGE	EDITOR_LAYOUT	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: feste Lage der Editor-Buehne
EDITOR_MASS_MAX	EDITOR_SCALE_MAX	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Massstab→scale
EDITOR_MASS_MIN	EDITOR_SCALE_MIN	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Massstab→scale
EDITOR_MASSE	EDITOR_METRICS	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Masssatz der Editor-Buehne
EXPORT_FINALE_BLENDE_S	EXPORT_FINALE_FADE_S	export-konstante	src/exportformat.ts	5	VORSCHLAG: Blende→fade
EXPORT_FINALE_S	EXPORT_FINALE_S	export-konstante	src/exportformat.ts	5	bleibt (schon englisch); Dauer der Finale-Tafel
EXPORT_FPS_WAHL	EXPORT_FPS_CHOICES	export-konstante	src/exportformat.ts	5	VORSCHLAG: Wahl→choices; waehlbare Bildraten
EXPORT_INTRO_BLENDE_S	EXPORT_INTRO_FADE_S	export-konstante	src/exportformat.ts	5	VORSCHLAG: Blende→fade
EXPORT_NACHRICHT	EXPORT_MESSAGE	export-konstante	src/exportformat.ts	5	Typ-Kennung der postMessage-Meldungen
EXPORT_REITER_PX	EXPORT_TAB_PX	export-konstante	src/exportfilm.ts	5	VORSCHLAG: Reiter→tab (wie in der Verwaltung); Hoehe des Attribution-Reiters
EXPORT_SKALA_MIN	EXPORT_SCALE_MIN	export-konstante	src/exportfilm.ts	5	skala→scale (§6.9)
EXPORT_VORGABE	EXPORT_DEFAULT	export-konstante	src/exportformat.ts	5	Vorgabe→default (§6.9 standard→default)
HOLD_AUSBLEND	HOLD_FADE_OUT_S	export-konstante	src/einblendung.ts	5	VORSCHLAG: Blende/Ausblenden→fade out, Einheit S in den Namen (§6.0)
KACHEL	TILE	export-konstante	src/demclean-rechnung.ts	5	Grundstock/§6.3a Kartenkachel→tile
KARTE	CARD	export-konstante	src/einblendung.ts	5	§6.3a Foto-Karte→card
KARTE_BUEHNE	CARD_STAGE	export-konstante	src/einblendung.ts	5	§6.3a card + stage
KARTE_EXPORT_ABWEICHUNGEN	CARD_EXPORT_DEVIATIONS	export-konstante	src/einblendung.ts	5	VORSCHLAG: Abweichung→deviation; bekannte Export-Abweichungen
KARTE_EXTRA_QUELLEN	MAP_EXTRA_SOURCES	export-konstante	src/map.ts	5	§6.3a Landkarte→map
KARTEN_FARBEN	CARD_COLORS	export-konstante	src/kartenmaler.ts	5	amerikanisch color (§6.0)
KARTEN_MASSE	CARD_METRICS	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Masssaetze des Players je Lage
KURATIERTER_PEGEL	CURATED_GAIN	export-konstante	src/audiotracks.ts	5	Grundstock/§6.1
KURVE	CURVE	export-konstante	src/kartenmaler.ts	5	benannte Animationskurven des Malers
MASS_MAX	SCALE_MAX	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Massstab→scale
MASS_MIN	SCALE_MIN	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Massstab→scale (wie --karten-mass→--card-scale im Grundstock)
mischeSkala	mixScale	export-konstante	src/tour.ts	5	VORSCHLAG: mische→mix; Skala in der Rampe mischen; art in der Inventur als Konstante gefuehrt
MODUS_TEMPO	TRAVEL_MODE_TEMPO	export-konstante	server/src/pipeline/filmtempo.ts	5	aus Grundstock (Welle 5: Server-Spiegel zieht mit dem Web-Zwilling src/filmachse.ts)
MODUS_TEMPO	TRAVEL_MODE_TEMPO	export-konstante	src/filmachse.ts	5	Grundstock; Server-Spiegel filmtempo.ts muss mit
NAHE_M	NEAR_M	export-konstante	src/geo.ts, src/studio/stopps.ts	5	VORSCHLAG: nah→near (§6.9); Gruppierabstand fuer Foto-Halte, zweimal definiert
NOT_DECKEL_S	FRAME_CAP_S	export-konstante	src/filmuhr.ts	5	VORSCHLAG: Notdeckel je Frame→frame cap
pflicht	requireElement	export-konstante	src/ui.ts	5	VORSCHLAG: verb-first require… (wie requireOwner §6.4); DOM-Element verpflichtend abfragen
RAMPE_M	RAMP_M	export-konstante	server/src/pipeline/filmtempo.ts	5	aus Grundstock (§6.3a; Welle 5 mit dem Web-Zwilling)
RAMPE_M	RAMP_M	export-konstante	src/filmachse.ts	5	Grundstock/§6.3a
SFX_KANTE_S	SFX_EDGE_S	export-konstante	src/audiotracks.ts	5	VORSCHLAG: Kante→edge; Toleranzfenster fuer One-Shot-Ausloesung
skalaFuer	scaleFor	export-konstante	src/tour.ts	5	Skala→scale (§6.9); Kameradistanz-Skala eines Modus
STUDIO_PEGEL_VORGABE	STUDIO_GAIN_DEFAULT	export-konstante	src/audiotracks.ts	5	VORSCHLAG: Grundstock STUDIO_PEGEL→STUDIO_GAIN plus Vorgabe→default
STUETZ_MAX_M	VERTEX_MAX_M	export-konstante	src/geo.ts	5	Grundstock/§6.3a; Stuetzpunkt→vertex, nicht waypoint
TEXT_DAUER_S	TEXT_DURATION_S	export-konstante	src/kartenmaler.ts	5	§6.9 durationS
TEXT_HUB_PX	TEXT_LIFT_PX	export-konstante	src/kartenmaler.ts	5	VORSCHLAG: Hub→lift wie exitLiftPx; grenzfall
TEXT_VERSATZ_S	TEXT_OFFSET_S	export-konstante	src/kartenmaler.ts	5	Versatz→offset (§6.9)
VERKLING_BLENDE	FADE_OUT_S	export-konstante	src/audiotracks.ts	5	VORSCHLAG: Blende→fade; Ausklingdauer beim Bereichsende
VIDEO_DRIFT_LAUF_S	VIDEO_DRIFT_PLAYING_S	export-konstante	src/einblendung.ts	5	VORSCHLAG: grobe Suchschwelle im laufenden Film
VIDEO_DRIFT_STAND_S	VIDEO_DRIFT_PAUSED_S	export-konstante	src/einblendung.ts	5	VORSCHLAG: §6.1 paused; feine Suchschwelle im Stand
VIDEO_HAT_FRAME	VIDEO_HAS_FRAME	export-konstante	src/einblendung.ts	5	VORSCHLAG: readyState-Schwelle HAVE_CURRENT_DATA
VIDEO_HAT_MASSE	VIDEO_HAS_METADATA	export-konstante	src/einblendung.ts	5	VORSCHLAG: readyState-Schwelle HAVE_METADATA
VIDEO_LAEUFT_WEITER	VIDEO_HAS_FUTURE_DATA	export-konstante	src/einblendung.ts	5	VORSCHLAG: readyState-Schwelle HAVE_FUTURE_DATA (so heisst sie im Browser)
VIDEO_PEGEL_PRO_S	VIDEO_VOLUME_PER_S	export-konstante	src/audiotracks.ts	5	§6.1 Pegel je Klip→volume; nie level
VIDEO_SUCH_PAUSE_S	VIDEO_SEEK_COOLDOWN_S	export-konstante	src/einblendung.ts	5	VORSCHLAG: Suchlauf→seek, Wanduhr-Ruhe→cooldown
WETTER_HIMMEL	WEATHER_SKY	export-konstante	src/wetterhimmel.ts	5	§6.3a weatherSky; Himmelswerte je Wetterlage
Ankerpunkt	AnchorPoint	export-typ	src/tours.ts	5	anchor §6.1; Anker-Koordinate eines Fotos
Atmosphaere	Atmosphere	export-typ	src/atmosphere.ts	5	Schnittstelle des Atmosphaeren-Overlays
AudioSpuren	AudioTracks	export-typ	src/audiotracks.ts	5	§6.1 audioTrack; Schnittstelle des Tour-Audio-Spielers
Datenquelle	MapSource	export-typ	src/karteninfo.ts	5	VORSCHLAG: §6.0 verbietet data als Fuellwort; gemeint ist die Kartenquelle mit Attribution
DuckPegel	DuckVolumes	export-typ	src/audiotracks.ts	5	VORSCHLAG: Pegelpaar→volumes (§6.1 volume, nie level)
ExportFormat	ExportFormat	export-typ	src/exportformat.ts	5	bleibt (schon englisch)
ExportGroesse	ExportSize	export-typ	src/exportformat.ts	5	Zielgroesse (720/1080)
ExportLage	ExportOrientation	export-typ	src/exportformat.ts	5	VORSCHLAG: hier meint Lage Quer/Hoch→orientation
ExportLauf	ExportRun	export-typ	src/exportfilm.ts	5	VORSCHLAG: Lauf→run wie data-export-run.ts (§6.6)
ExportMeldung	ExportMessage	export-typ	src/exportformat.ts	5	postMessage-Meldung des Export-Rahmens
ExportPhase	ExportPhase	export-typ	src/exportformat.ts	5	bleibt (schon englisch)
ExportReiter	ExportTab	export-typ	src/exportfilm.ts	5	VORSCHLAG: gezeichneter Attribution-Reiter
ExportStand	ExportProgress	export-typ	src/exportformat.ts	5	ENTSCHIEDEN 2026-08-20 (Abnahme): Video-Export-Fortschritt, ANDERES Ding als der Datenexport
ExportStand	DataExportStatus	export-typ	src/konto/kontomodell.ts	6	ENTSCHIEDEN 2026-08-20 (Abnahme): Datenexport-Spiegel des Servers, gleicher Name beidseits (§6.1 dataExport)
ExportTon	ExportAudio	export-typ	src/exportfilm.ts	5	Ton→audio
ExportTonKlip	ExportAudioClip	export-typ	src/exportfilm.ts	5	§6.3 audioClip
ExportTonSchuss	ExportAudioOneShot	export-typ	src/exportfilm.ts	5	VORSCHLAG: Schuss→one-shot (so heisst es im Kommentar)
Fahrzeugton	VehicleSound	export-typ	src/vehicle.ts	5	VORSCHLAG: Fahrzeug→vehicle (Dateiname schon so), Ton→sound; Schnittstelle des Motorloops
Fenster	PinWindow	export-typ	src/pinmodell.ts	5	VORSCHLAG: nicht blankes Window (Kollision mit lib.dom); Sichtfenster um die aktuelle Position
Filmachse	FilmAxis	export-typ	src/filmachse.ts	5	§6.3a filmAxis
Filmleiste	ProgressBar	export-typ	src/ui.ts	5	§6.3a Fortschrittsleiste = progressBar; Leiste→bar; Schnittstelle der Fortschrittsleiste
Filmspur	FilmTrack	export-typ	src/tour.ts	5	§6.3a Filmspur = FilmTrack (GPS-Spur bleibt track, Zeitleisten-Bahn lane)
FotoWegpunkt	MediaWaypoint	export-typ	src/map.ts	5	VORSCHLAG: §6.1 die einzelne Aufnahme ist medium und nicht photo; Wegpunkt→waypoint (§6.3a)
FrameTafeln	FramePanels	export-typ	src/exportfilm.ts	5	§6.3a panel; Tafel-Zustand eines Export-Frames
Halt	AxisStop	export-typ	src/filmachse.ts	5	ENTSCHIEDEN 2026-08-20 (Abnahme): Glossar Halt→stop, aber Stop ist schon der gruppierte Foto-Halt aus stops.ts (Grundstock); main.ts importiert beide
HaltIntervall	StopInterval	export-typ	src/filmachse.ts, src/studio/zeitleiste.ts	5	§6.1 stopInterval; zweimal definiert, die zeitleiste-Kopie geht in Welle 3 mit
Hintergrundmusik	BackgroundMusic	export-typ	src/music.ts	5	Schnittstelle des kuratierten Ambient-Loops
Kamerablick	CameraView	export-typ	src/atmosphere.ts	5	VORSCHLAG: Blick→view; Kamerapose fuer das Atmosphaeren-Overlay
Kameradistanz	CameraDistance	export-typ	src/tour.ts	5	VORSCHLAG: CameraDistance (Paar behind/hover); Distanz→distance
KameraPose	CameraPose	export-typ	src/tour.ts	5	Pose bleibt; Kameraposition und Blickpunkt
KartenBedienung	CardControls	export-typ	src/kartenschicht.ts	5	VORSCHLAG: Bedienung→controls; Anteil 0..1 wie sichtbar die Steuerleiste ist
KartenBuehne	CardStage	export-typ	src/kartenmaler.ts	5	§6.3a stage
KartenBuehnenName	CardStageName	export-typ	src/kartenmaler.ts	5	§6.3a stage; player/editor/export
KartenErgebnis	CardPaintResult	export-typ	src/kartenmaler.ts	5	VORSCHLAG: §6.3a Maler→painter; Ergebnis eines Malvorgangs
KartenGeometrie	CardGeometry	export-typ	src/kartenmaler.ts	5	Geometrie der Karte auf der Buehne
KartenInhalt	CardContent	export-typ	src/kartenmaler.ts	5	Inhalt der die Geometrie beeinflusst
KartenLage	CardLayout	export-typ	src/kartenmaler.ts	5	VORSCHLAG: Werte breit/schmal/quer sind Layouts, nicht bloss Orientierung (anders als ExportOrientation)
KartenMasse	CardRects	export-typ	src/kartenmaler.ts	5	VORSCHLAG: Rueckgabe-RECHTECKE von paintCard, nicht die Masssaetze (CARD_METRICS)
KartenMassSatz	CardMetrics	export-typ	src/kartenmaler.ts	5	VORSCHLAG: Masssatz→metrics
KartenMedium	CardMedium	export-typ	src/kartenmaler.ts	5	§6.1 die einzelne Aufnahme ist medium; Bild-/Videoquelle der Karte
KartenOptionen	MapOptions	export-typ	src/map.ts	5	§6.3a map
KartenPhasen	CardPhases	export-typ	src/kartenmaler.ts	5	Phasenwerte eines Kartenbildes
KartenQuelle	CardSource	export-typ	src/kartenmaler.ts	5	Zeichenquelle (Bild oder Video)
KartenSatz	CardStageSet	export-typ	src/kartenmaler.ts	5	VORSCHLAG: vollstaendiger Buehnen-Satz
KartenSchicht	CardLayer	export-typ	src/kartenschicht.ts	5	§6.6 card-layer.ts
KartenSchichtOptionen	CardLayerOptions	export-typ	src/kartenschicht.ts	5	§6.6 card-layer.ts
KartenSchichtStand	CardLayerState	export-typ	src/kartenschicht.ts	5	VORSCHLAG: zuletzt gemalter Stand der Schicht
KartenStand	CardFrame	export-typ	src/kartenmaler.ts	5	VORSCHLAG: vollstaendiger Zeichenstand EINES Frames
KartenText	CardText	export-typ	src/kartenmaler.ts	5	Beschriftung der Karte
KartenZeiten	CardTimings	export-typ	src/einblendung.ts	5	§6.3a Einblendung→cardTiming; Zeitfenster aller Klips eines Halts
Lichtstimmung	LightMood	export-typ	src/daynight.ts	5	VORSCHLAG: Stimmung→mood wie kartenstimmung→map-mood (§6.6)
LoopAbschnitt	LoopSegment	export-typ	src/exportformat.ts	5	Abschnitt→segment wie walkSegment (§6.4)
Modusuebergang	TravelModeTransition	export-typ	src/filmachse.ts	5	VORSCHLAG: §6.1 travelMode; Tempowechsel an einer Modusgrenze
PinSteuerung	PinControl	export-typ	src/photopins.ts	5	VORSCHLAG: Steuerung→control; Schnittstelle der Pin-Schicht
PinStopp	PinStop	export-typ	src/photopins.ts	5	Halt→stop (Glossar-Kopf); Foto-Stopp fuer die 3D-Pins
PinZustand	PinState	export-typ	src/pinmodell.ts	5	Zustand→state (wie §6.8/§4.2); Zustand eines Pins (voll/flach)
PlayerStopp	PlayerStop	export-typ	src/ui.ts	5	Grundstock: Stopp→Stop; Foto-Stopp aus Sicht des Players
Rampenwahl	RampChoice	export-typ	src/filmachse.ts	5	VORSCHLAG: gewaehlte Rampenlaengen an einer Kante
Rastergrading	RasterGrading	export-typ	src/daynight.ts	5	bleibt (schon englisch), nur PascalCase; Farbanpassung der Rasterkarte
Rechteck	Rect	export-typ	src/kartenmaler.ts	5	VORSCHLAG: Rechteck fuer mitgefuehrte Klickflaechen
Route	Route	export-typ	src/geo.ts, src/routen.ts	5	bleibt (schon englisch); der gleichnamige Pfad-Eintrag in routen.ts→routes.ts heisst kuenftig RouteEntry (Welle 6)
